Individual,ACAD#,"Skeletal element",Grave,Age/Sex,Location,"Experiments ","Archaeological date/Radiocarbon date","Hg HVSI","Hg Geno CoRe22",age_bp,lat_dec,lon_dec,alt_ams,λ,(1/λ)+1,"k (yr)","k (sec)",Teff,"Thermal age",reportFilename
1,4298,M37,,,Wiederstedt,3,"4625–4475/4250BC  ","N1a ",N1a,6500,51.666667,11.533056,0,0.033210200535344,31.111230401507,5.0633024142925E-6,1.6055626630811E-13,14.590173446975,15502.346959665,1_wiederstedt.txt
2,4296/4297,M36/M26,3,,Wiederstedt,1,4475–3950BC,HV,HV,6162.5,51.666667,11.533056,0,0.031725737031064,32.52015031269,5.0993710569901E-6,1.6169999546519E-13,14.628672401317,14809.407202562,2_wiederstedt.txt
3,4360,C13,225,,Wiederstedt,01/03/2011,"4625–4475/4250BC  ",H,H,6500,51.666667,11.533056,0,0.033210200535344,31.111230401507,5.0633024142925E-6,1.6055626630811E-13,14.590173446975,15502.346959665,3_wiederstedt.txt
12,4302/4303,M48/C43,3644,"Adult, M",Quedlinburg,"1, 2 & 3","2200–2050BC ",U5a1a,U,4075,51.792778,11.150833,0,0.023117172389043,44.257885660532,5.591962358259E-6,1.7731996316143E-13,15.129745822954,10790.974499535,12_quedlinburg.txt
18,4327/4328,"R. Tibia/L. Tibia",1265,Adult,Quedlinburg,02/03/2011,"2500–2050BC ",H,H,4225,51.792778,11.150833,0,0.023762732197296,43.082702935725,5.5468562552045E-6,1.7588965801638E-13,15.085667346184,11092.318423071,18_quedlinburg.txt
23,DEB02,Tooth,44,"Mature, F",Derenburg,3,5450–4775BC,K,K,7062.5,51.866667,10.9,0,0.036045290073509,28.7428756423,5.0614744188035E-6,1.604983009514E-13,14.588215261214,16825.751846533,23_derenburg.txt
26,DEB20,Tooth,31,"Adult, M",Derenburg,3,"6257±40BP (KIA30403)",HV,HV,6257,51.866667,10.9,0,0.032925167649152,31.371903057744,5.2129777785231E-6,1.6530244097295E-13,14.748243934892,15369.29510736,26_derenburg.txt
32,4462,Bone,,,Latsch,3,"800-400 BC",H,H,2550,46.616667,10.866667,0,0.0093542247928751,107.90356733373,3.585367877683E-6,1.136912695866E-13,12.730490369599,4366.5029400687,32_latsch.txt
35,241,Hair,,,Tierkloof,3,"1 AD",L0'1,L0'1,1950,-31.8,24.95,0,0.0094004652625493,107.37771345041,4.6791763377548E-6,1.4837570832556E-13,14.162953614197,4388.0877481371,35_tierkloof.txt
36,"6317A ",Hair,,"Juvenille, F",Llullaillaco,3,"1430–1520 AD (OxA-14878)",D,D,470,-24.719863,-68.536852,6700,0.0069526361477893,144.83033697484,1.3142979485424E-5,4.1676114552968E-13,19.857670761708,3245.4539903375,36_llullaillaco.txt
39,6691A,I21,9,,"Preachers Cave",3,"1290 AD",B,B,660,25.552276,-76.698647,0,0.048683515414032,21.540833822197,6.7710035346359E-5,2.1470711360464E-12,29.375727439293,22725.208971904,39_preachers_cave.txt
